draw_number,date,machine_name,N1,N2,N3,N4,N5,tickets_sold,jackpot,div1_wniners,div1_prize,div2_wniners,div2_prize,div3_wniners,div3_prize,div4_wniners,div4_prize,total_sales_R,total_winners,total_winnings
1754,01-January-2024,NG 2,2,3,14,17,32,657171,350929.5,3,116976.5,221,365.8,7491,21.6,77094,5.1,1971513,84809,986756.3
1755,02-January-2024,NG 2,16,19,27,30,33,953277,509049.8,1,509049.8,395,296.8,11494,20.4,112571,5.1,2859831,124461,1434875.5
1756,03-January-2024,NG 2,2,10,25,31,34,1019063,544179.6,1,544179.6,349,359.2,11443,21.9,117679,5.1,3057189,129472,1520305.0
1757,04-January-2024,NG 2,3,7,14,19,34,1040679,555722.7,3,185240.9,445,287.7,13286,19.3,127523,4.9,3122037,141257,1565031.7
1758,05-January-2024,NG 2,3,6,18,29,34,1198691,640100.9,1,640100.9,559,263.7,14316,20.6,141371,5.1,3596073,156247,1803410.9
1759,06-January-2024,NG 2,8,17,21,29,32,995604,531652.8,6,88608.8,389,314.8,11527,21.2,114688,5.1,2986812,126610,1483391.2
1760,07-January-2024,NG 2,4,20,25,29,31,724767,387025.3,1,387025.3,261,341.6,8040,22.2,82828,5.3,2174301,91130,1093659.3
1761,08-January-2024,NG 2,4,12,19,23,26,928790,495974.0,4,123993.5,434,263.2,12195,18.7,110702,5.0,2786370,123335,1391759.3
1762,09-January-2024,NG 2,3,6,13,17,27,1058696,565343.6,4,141335.9,542,240.3,13790,18.9,129810,4.9,3176088,144146,1592286.2
1763,10-January-2024,NG 2,3,4,9,13,19,973326,519756.0,5,103951.2,405,295.6,13173,18.2,123470,4.7,2919978,137053,1459531.6
1764,11-January-2024,NG 2,9,14,18,27,32,981496,550000.0,1,550000.0,410,294.4,12215,19.7,115363,5.0,2944488,127989,1488154.5
1765,12-January-2024,NG 2,1,8,25,34,36,1269389,750000.0,2,375000.0,533,293.0,15365,20.4,150094,5.1,3808167,165994,1985094.4
1766,13-January-2024,NG 2,5,7,9,11,30,933116,500000.0,0,500000.0,594,1032.0,13536,16.9,118564,4.7,2799348,132694,1399017.2
1767,14-January-2024,NG 2,10,19,27,33,35,659650,352253.1,3,117417.7,282,287.8,8593,18.9,79711,4.9,1978950,88589,986404.3
1768,15-January-2024,NG 2,5,25,27,33,34,881267,470596.5,3,156865.5,273,397.1,10193,21.3,102339,5.1,2643801,112808,1318044.6
1769,16-January-2024,NG 2,7,9,25,28,34,1046155,558646.8,3,186215.6,394,326.6,12684,20.3,125661,5.0,3138465,138742,1573117.4
1770,17-January-2024,NG 2,3,17,20,24,33,920569,491584.0,4,122896.0,475,238.4,12265,18.4,110816,5.0,2761707,123560,1384580.0
1771,18-January-2024,NG 2,12,15,22,29,31,924246,493547.2,4,123386.8,433,262.5,12210,18.6,109293,5.0,2772738,121940,1380780.7
